name,id,used
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,false
Muse,12Chz98pHFMPJEknJQMWvI,false
My Bloody Valentine,3G3Gdm0ZRAOxLrbyjfhii5,false
My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,false
Nas,20qISvAhX20dpIbOOzGK3q,false
Nat King Cole,7v4imS0moSyGdXyLgVTIV7,false
The Neighborhood,77SW9BnxLY8rJ0RciFqkHh,false
Ne-Yo,21E3waRsmPlU7jZsS13rcj,false
Neil Young,6v8FB84lnmJs434UJf2Mrm,false
Newjeans,6HvZYsbFfjnjFrWF950C9d,false
Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,false
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,false
Nickelback,6deZN1bslXzeGvOLaLMOIF,false
Nine Inch Nails,0X380XXQSNBYuleKzav5UO,false
Nirvana,6olE6TJLqED3rqDCT0FyPh,false
N.W.A,4EnEZVjo3w1cwcQYePccay,false
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,false
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,false
Oasis,2DaxqgrOhkeH0fpeiQq2f4,false
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,false
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,false
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,false
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,false
Otis Redding,60df5JBRRPcnSpsIMxxwQm,false
OutKast,1G9G7WwrXka3Z1r7aIDjI7,false
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,false
Pantera,14pVkFUHDL207LzLHtSA18,false
Panic! at the Disco,20JZFwl6HVl6yg8a4H3ZqK,false
Papa Roach,4RddZ3iHvSpGV4dvATac9X,false
Paramore,74XFHRwlV6OrjEM0A2NCMF,false
Parliament Funkadelic,6XswoC68grx55in1WQnJ7E,false
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,false
Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,false
Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,false
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,false
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,false
Pavement,3inCNiUr4R6XQ3W43s9Aqi,false
Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,false
Pentatonix,26AHtbjWKiwYzsoGoUZq53,false
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,false
Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,false
Pete Townshend,24Wa5wIZIo1sPkzVGP0B5p,false
Peter Frampton,0543y7yrvny4KymoaneT4W,false
Peter Gabriel,7C4sUpWGlTy7IANjruj02I,false
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,false
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,false
Phish,5wbIWUzTPuTxTyG6ouQKqz,false
Pink,3yJnBqAoRUNeDabdYoiYWD,false
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,false
